ebuse,Recv1_avg_time,Recv2_avg_time,Recv3_avg_time,Recv1_std_time,Recv2_std_time,Recv3_std_time,recv1_std_stable_value,recv2_std_stable_value,recv3_std_stable_value
0.1,1737.9,1566.3,2270.7,1306.11044326,568.390191682,846.124346654,0.0015883125,0.0008355265,0.0008448722
0.2,963.454545455,617.454545455,1248,637.495435083,286.29303603,252.275462721,0.0005810578,0.0007918664,0.0009053858
0.3,1173,805.6,1835.1,569.834361898,346.343240153,950.301999367,0.0004018398,0.0005063178,0.0006565629
0.4,1350.7,694.4,1685.3,1158.48410002,342.749821298,792.962804928,0.0004332742,0.0004870693,0.0006507869
0.5,1959.1,784.1,1700.1,1266.84817164,388.436210979,716.411815927,0.0005543053,0.0004681695,0.0004817987
