ebuse,Recv1_avg_time,Recv2_avg_time,Recv3_avg_time,Recv1_std_time,Recv2_std_time,Recv3_std_time,settling_time,settling_time_std,recv1_mean_stable_value,recv2_mean_stable_value,recv3_mean_stable_value,recv1_std_stable_value,recv2_std_stable_value,recv3_std_stable_value,stable_value,stable_value_std
0.1,2604,2536.8,3151.7,940.745449099,864.655862179,588.266104752,3151.7,940.745449099,0.0110622841,0.0101554341,0.0108064354,0.0015352334,0.0010205956,0.0010992854,0.0106747178,0.0012183714
0.2,2044.9,743.1,1824.4,453.930490274,247.461289902,708.707019861,2044.9,708.707019861,0.009758249,0.0089419165,0.0099257497,0.000601558,0.0008008892,0.0010105378,0.0095419717,0.0008043283
0.3,2141.7,2480.7,2817.6,424.387099238,1079.40993603,721.820642542,2817.6,1079.40993603,0.0102615937,0.0099879999,0.0104518998,0.0004410515,0.0003647484,0.0008059509,0.0102338312,0.0005372503
0.4,2814.4,2334.1,2274.4,687.941014913,854.287709147,822.930033478,2814.4,854.287709147,0.0104093774,0.0099834355,0.0105223639,0.0004951559,0.0004456503,0.0008410365,0.0103050589,0.0005939476
0.5,2889.2,1790.3,2735.8,857.182454323,936.187379748,583.411484289,2889.2,936.187379748,0.0104914273,0.0099771709,0.0104205915,0.0006028193,0.000415859,0.0006047818,0.0102963966,0.0005411534
