1,0.0226318,,0.0126318,220,1.1235955056,1,,220,6.5573770492,6,,5.8360655738,5,0.0182387,0.0082387,220
2,0.0177675,,0.0077675,320,2.2471910112,2,,320,13.1147540984,13,,11.6721311475,11,0.0155069,0.0055069,320
3,0.0205533,,0.0105533,320,3.3707865169,3,,320,19.6721311475,19,,17.5081967213,17,0.0150698,0.0050698,320
4,0.0164653,,0.0064653,320,4.4943820225,4,,320,26.2295081967,26,,23.3442622951,23,0.0135132,0.0035132,320
5,0.0182387,,0.0082387,320,5.6179775281,5,,320,32.7868852459,32,,29.1803278689,29,0.0128653,0.0028653,320
6,0.0173679,,0.0073679,320,6.7415730337,6,,320,39.3442622951,39,,35.0163934426,35,0.0124561,0.0024561,320
7,0.0154656,,0.0054656,320,7.8651685393,7,,320,45.9016393443,45,,40.8524590164,40,0.0117076,0.0017076,320
8,0.015656,,0.005656,420,8.9887640449,8,,420,52.4590163934,52,,46.6885245902,46,0.0106111,0.0006111,420
10,0.0140849,,0.0040849,420,10.1123595506,10,,420,59.0163934426,59,,52.5245901639,52,0.0100814,0.0000814,420
11,0.0156397,,0.0056397,420,11.2359550562,11,,420,65.5737704918,65,,58.3606557377,58,0.00945899,0.00054101,420
12,0.0155069,,0.0055069,420,12.3595505618,12,,420,72.131147541,72,,64.1967213115,64,0.00912774,0.00087226,420
13,0.0155066,,0.0055066,420,13.4831460674,13,,420,78.6885245902,78,,70.0327868852,70,0.00877225,0.00122775,420
14,0.0147177,,0.0047177,420,14.606741573,14,,420,85.2459016393,85,,75.868852459,75,0.00843649,0.00156351,420
15,0.0138639,,0.0038639,220,15.7303370787,15,,220,91.8032786885,91,,81.7049180328,81,0.00819939,0.00180061,220
16,0.0148732,,0.0048732,20,16.8539325843,16,,20,98.3606557377,98,,87.5409836066,87,0.00780994,0.00219006,20
17,0.014174,,0.004174,220,17.9775280899,17,,220,104.9180327869,104,,93.3770491803,93,0.00789018,0.00210982,220
19,0.0150698,,0.0050698,20,19.1011235955,19,,20,111.4754098361,111,,99.2131147541,99,0.00791057,0.00208943,20
20,0.0150682,,0.0050682,220,20.2247191011,20,,220,118.0327868852,118,,105.0491803279,105,0.00773711,0.00226289,220
21,0.0144974,,0.0044974,20,21.3483146067,21,,20,124.5901639344,124,,110.8852459016,110,0.00873204,0.00126796,20
22,0.0138677,,0.0038677,120,22.4719101124,22,,120,131.1475409836,131,,116.7213114754,116,0.0089058,0.0010942,120
23,0.0137135,,0.0037135,20,23.595505618,23,,20,137.7049180328,137,,122.5573770492,122,0.00884728,0.00115272,20
24,0.0130069,,0.0030069,120,24.7191011236,24,,120,144.262295082,144,,128.393442623,128,0.008552,0.001448,120
25,0.0135132,,0.0035132,20,25.8426966292,25,,20,150.8196721311,150,,134.2295081967,134,0.00843498,0.00156502,20
26,0.0131509,,0.0031509,220,26.9662921348,26,,220,157.3770491803,157,,140.0655737705,140,0.00862684,0.00137316,220
28,0.0126474,,0.0026474,20,28.0898876404,28,,20,163.9344262295,163,,145.9016393443,145,0.00875201,0.00124799,20
29,0.0126474,,0.0026474,220,29.2134831461,29,,220,170.4918032787,170,,151.737704918,151,0.00852427,0.00147573,220
30,0.0130632,,0.0030632,120,30.3370786517,30,,120,177.0491803279,177,,157.5737704918,157,0.00845359,0.00154641,120
31,0.0124659,,0.0024659,20,31.4606741573,31,,20,183.6065573771,183,,163.4098360656,163,0.00825402,0.00174598,20
32,0.0128653,,0.0028653,120,32.5842696629,32,,120,190.1639344262,190,,169.2459016393,169,0.00833096,0.00166904,120
33,0.0127314,,0.0027314,20,33.7078651685,33,,20,196.7213114754,196,,175.0819672131,175,0.00842244,0.00157756,20
34,0.0124016,,0.0024016,120,34.8314606742,34,,120,203.2786885246,203,,180.9180327869,180,0.0083539,0.0016461,120
35,0.0120175,,0.0020175,320,35.9550561798,35,,320,209.8360655738,209,,186.7540983607,186,0.00833326,0.00166674,320
37,0.0127203,,0.0027203,120,37.0786516854,37,,120,216.393442623,216,,192.5901639344,192,0.00807658,0.00192342,120
38,0.0123321,,0.0023321,20,38.202247191,38,,20,222.9508196721,222,,198.4262295082,198,0.00809402,0.00190598,20
39,0.0124561,,0.0024561,120,39.3258426966,39,,120,229.5081967213,229,,204.262295082,204,0.00852195,0.00147805,120
40,0.0124328,,0.0024328,20,40.4494382022,40,,20,236.0655737705,236,,210.0983606557,210,0.00863257,0.00136743,20
41,0.0122633,,0.0022633,20,41.5730337079,41,,20,242.6229508197,242,,215.9344262295,215,0.00888282,0.00111718,20
42,0.0118377,,0.0018377,120,42.6966292135,42,,120,249.1803278689,249,,221.7704918033,221,0.00950961,0.00049039,120
43,0.0115675,,0.0015675,320,43.8202247191,43,,320,255.737704918,255,,227.6065573771,227,0.00955025,0.00044975,320
44,0.0117076,,0.0017076,220,44.9438202247,44,,220,262.2950819672,262,,233.4426229508,233,0.0095278,0.0004722,220
46,0.0115269,,0.0015269,20,46.0674157303,46,,20,268.8524590164,268,,239.2786885246,239,0.00941106,0.00058894,20
47,0.0115006,,0.0015006,220,47.191011236,47,,220,275.4098360656,275,,245.1147540984,245,0.00965757,0.00034243,220
48,0.0114828,,0.0014828,20,48.3146067416,48,,20,281.9672131148,281,,250.9508196721,250,0.00984406,0.00015594,20
49,0.0113834,,0.0013834,220,49.4382022472,49,,220,288.5245901639,288,,256.7868852459,256,0.00977381,0.00022619,220
50,0.0110505,,0.0010505,120,50.5617977528,50,,120,295.0819672131,295,,262.6229508197,262,0.00982573,0.00017427,120
