gamma,Recv1_avg_time,Recv2_avg_time,Recv3_avg_time,Recv1_std_time,Recv2_std_time,Recv3_std_time,settling_time,settling_time_std,recv1_mean_stable_value,recv2_mean_stable_value,recv3_mean_stable_value,recv1_std_stable_value,recv2_std_stable_value,recv3_std_stable_value,stable_value,stable_value_std
0.2,2801.8,2311.7,2697,658.864750916,768.724664623,618.417658221,2801.8,768.724664623,0.0103699221,0.0101669352,0.0109255723,0.0006175644,0.0009197395,0.0010994602,0.0104874766,0.0008789214
0.4,2859.7,2632.7,2708.2,723.971277055,1137.25160365,604.094164845,2859.7,1137.25160365,0.0105837722,0.0100537268,0.0103687086,0.0007813838,0.0003723787,0.000874842,0.0103354025,0.0006762015
0.6,2548.7,2469,3031.2,857.615420804,483.03767969,491.812118598,3031.2,857.615420804,0.0106296247,0.0102163296,0.0108469378,0.0010161409,0.0008457797,0.0011550528,0.0105642974,0.0010056578
0.8,2044.9,743.1,1824.4,453.930490274,247.461289902,708.707019861,2044.9,708.707019861,0.009758249,0.0089419165,0.0099257497,0.000601558,0.0008008892,0.0010105378,0.0095419717,0.0008043283
1,1567.375,1433,2739.125,908.499028274,865.709824364,1023.96269921,2739.125,1023.96269921,0.0099898186,0.0097547227,0.0104787505,0.0003448528,0.0004068279,0.0009920108,0.0100744306,0.0005812305
