alpha,Recv1_avg_time,Recv2_avg_time,Recv3_avg_time,Recv1_std_time,Recv2_std_time,Recv3_std_time,settling_time,settling_time_std,recv1_mean_stable_value,recv2_mean_stable_value,recv3_mean_stable_value,recv1_std_stable_value,recv2_std_stable_value,recv3_std_stable_value,stable_value,stable_value_std
0.1,2044.9,743.1,1824.4,453.930490274,247.461289902,708.707019861,2044.9,708.707019861,0.009758249,0.0089419165,0.0099257497,0.000601558,0.0008008892,0.0010105378,0.0095419717,0.0008043283
0.3,2654.8,2125.4,2753.2,991.507317169,1158.06944524,855.378956954,2753.2,1158.06944524,0.0107171329,0.0101059791,0.011003999,0.000711007,0.0007106048,0.0014196326,0.010609037,0.0009470815
0.5,2479.2,1600.5,2517.8,766.991629681,848.438005985,733.211265598,2517.8,848.438005985,0.01082289,0.0102716844,0.0108000811,0.0016989737,0.0009658076,0.0007520205,0.0106315519,0.0011389339
0.7,3032.5,1765.7,2883.8,677.318425853,872.462726998,766.448798029,3032.5,872.462726998,0.0108946321,0.010377661,0.0112708136,0.00110754,0.0011492911,0.001211629,0.0108477023,0.0011561533
0.9,2151.3,1423.3,2317.5,1033.51613921,312.012195274,788.655723367,2317.5,1033.51613921,0.0105959449,0.0101265618,0.0106286441,0.000804375,0.0005203144,0.0005213259,0.0104503836,0.0006153384
