3200000,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0236842105,0,0.9763157895,0.0313315927,0,0.9686684073,0.0413436693,0,0.9586563307,371,383,387,,,,,,,,,,,,,
7,0.0259365994,0,0.9740634006,0.0478873239,0,0.9521126761,0.0662983425,0,0.9337016575,338,355,362,,,,,,,,,,,,,
8,0.0151057402,0,0.9848942598,0.0411764706,0,0.9588235294,0.0685714286,0,0.9314285714,326,340,350,,,,,,,,,,,,,
9,0.0253164557,0,0.9746835443,0.0404984424,0,0.9595015576,0.0581039755,0,0.9418960245,308,321,327,,,,,,,,,,,,,
10,0.0178041543,0,0.9821958457,0.0377906977,0,0.9622093023,0.0515759312,0,0.9484240688,331,344,349,,,,,,,,,,,,,
11,0.0141643059,0,0.9858356941,0.041322314,0,0.958677686,0.0543478261,0,0.9456521739,348,363,368,,,,,,,,,,,,,
12800000,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0174216028,0,0.9825783972,0.0309278351,0,0.9690721649,0.0472972973,0,0.9527027027,282,291,296,,,,,,,,,,,,,
1,0.0111940299,0,0.9888059701,0.0293040293,0,0.9706959707,0.0467625899,0,0.9532374101,265,273,278,,,,,,,,,,,,,
2,0.017921147,0,0.982078853,0.0318021201,0,0.9681978799,0.0452961672,0,0.9547038328,274,283,287,,,,,,,,,,,,,
3,0.018115942,0,0.981884058,0.0390070922,0,0.9609929078,0.0457746479,0,0.9542253521,271,282,284,,,,,,,,,,,,,
4,0.0069444444,0,0.9930555556,0.0272108844,0,0.9727891156,0.037037037,0,0.962962963,286,294,297,,,,,,,,,,,,,
5,0.0158227848,0,0.9841772152,0.0220125786,0,0.9779874214,0.031152648,0,0.968847352,311,318,321,,,,,,,,,,,,,
6,0.021875,0,0.978125,0.0339506173,0,0.9660493827,0.0457317073,0,0.9542682927,313,324,328,,,,,,,,,,,,,
7,0.0171821306,0,0.9828178694,0.0305084746,0,0.9694915254,0.0561056106,0,0.9438943894,286,295,303,,,,,,,,,,,,,
