,,,,,,,,,,,,,,,,,,,,,3.2,0.0205008624,0,0.9794991376,0.076742169,0,0.923257831,0.0473795287,0,,0.0188147667,0,0.9811852333,0.052104706,0,0.947895294,0.0286049206,0
3200000,,,,,,,,,,,,,,,,,,,,,6.4,0.0184847017,0,0.9815152983,0.0799395564,0,0.9200604436,0.039536143,0,,0.014076494,0,0.985923506,0.0483798706,0,0.9516201294,0.0299299628,0
0,0.0209424084,0,0.9790575916,0.073110285,0,0.926889715,0.0459183673,0,0.9540816327,748,807,784,,,,,,,,,9.6,0.0179108849,0,0.9820891151,0.0788752459,0,0.9211247541,0.0400073957,0,,0.0164738242,0,0.9835261758,0.0440407315,0,0.9559592685,0.0318729877,0
1,0.0168302945,0,0.9831697055,0.0751978892,0,0.9248021108,0.0462585034,0,0.9537414966,701,758,735,0.0205008624,0,0.9794991376,0.076742169,0,0.923257831,0.0473795287,0,12.8,0.0202809112,0,0.9797190888,0.0780974829,0,0.9219025171,0.0422194099,0,,0.0178331526,0,0.9821668474,0.0399171461,0,0.9600828539,0.0341984882,0
2,0.0154494382,0,0.9845505618,0.0764163373,0,0.9235836627,0.0436562074,0,0.9563437926,701,759,733,,,,,,,,,16,0.0193259952,0,0.9806740048,0.0780501041,0,0.9219498959,0.0387391158,0,,0.0164290532,0,0.9835709468,0.0361475737,0,0.9638524263,0.0342176712,0
3,0.0235457064,0,0.9764542936,0.0784313725,0,0.9215686275,0.048582996,0,0.951417004,705,765,741,,,,,,,,,19.2,0.0173446433,0,0.9826553567,0.0717002196,0,0.9282997804,0.0371112077,0,,0.0151613782,0,0.9848386218,0.0310804686,0,0.9689195314,0.0330569575,0
4,0.0261780105,0,0.9738219895,0.0769230769,0,0.9230769231,0.0510204082,0,0.9489795918,744,806,784,,,,,,,,,22.4,0.0182710539,0,0.9817289461,0.0734624756,0,0.9265375244,0.0415086394,0,,0.014637041,0,0.985362959,0.0289359423,0,0.9710640577,0.0346705557,0
6400000,,,,,,,,,,,,,,,,,,,,,25.6,0.0138028718,0,0.9861971282,0.0680762163,0,0.9319237837,0.033795255,0,,0.0096116865,0,0.9903883135,0.0233178113,0,0.9766821887,0.0272551404,0
0,0.0224948875,0,0.9775051125,0.0736434109,0,0.9263565891,0.044,0,0.956,478,516,500,,,,,,,,,28.8,0.0155670143,0,0.9844329857,0.0664734681,0,0.9335265319,0.0379992314,0,,0.0093853177,0,0.9906146823,0.024691358,0,0.975308642,0.0291600394,0
1,0.0113636364,0,0.9886363636,0.076433121,0,0.923566879,0.0354767184,0,0.9645232816,435,471,451,0.0184847017,0,0.9815152983,0.0799395564,0,0.9200604436,0.039536143,0,32,0.0137581647,0,0.9862418353,0.0666869974,0,0.9333130026,0.0303948398,0,,0.0086448035,0,0.9913551965,0.0238106257,0,0.9761893743,0.0238331356,0
